variable,predictor_role,clinical_domain,candidate_logic_type,variable_type,approx_df,max_missing_pct_stage3,min_n_model_stage3,best_signal_summary,overlap_summary,external_clinical_priority,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_is_descriptive_only,inclusion_not_based_on_pvalue,outcome_relevance_flag_1y,outcome_relevance_flag_survival,outcome_relevance_flag_hosp,rationale_1y,rationale_survival,rationale_hosp,preliminary_recommendation,committee_review_priority,include_1y_main,include_survival_main,include_hosp_main,sensitivity_only,exclude_from_main,final_decision,decision_reason,committee_notes,representative_variable_reason,retain_despite_not_cardiology_prioritized,reason_to_exclude_despite_cardiology_priority,final_include_1y,final_include_survival,final_include_hosp,decision_basis,decision_reason_free_text,reviewer_defensibility_note
AgeAtFirstHFDate,main_candidate,Demographics,core_adjustment,continuous,1,0.0,617,1y: OR=1.604 (per 1 SD increase); p<0.05; elevated | survival: HR=1.494 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.374 (per 1 SD increase); p<0.05; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive OR=1.604 (per 1 SD increase); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive HR=1.494 (per 1 SD increase); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive IRR=1.374 (per 1 SD increase); p<0.05; elevated,core_adjustment_candidate,high,,,,,,,,,,,,,,,,,
albumin-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.0016207455429497,616,1y: OR=0.659 (per 1 SD increase); p<0.05; reduced | survival: HR=0.847 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.979 (per 1 SD increase); p>=0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,limited,Stage 3 descriptive OR=0.659 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive HR=0.847 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive p=0.679 (no signal),data_signal_discovery_candidate,medium,,,,,,,,,,,,,,,,,
creatinine-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.0016207455429497,616,1y: OR=0.635 (per 1 SD increase); p<0.05; reduced | survival: HR=0.789 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.836 (per 1 SD increase); p<0.05; reduced,overlap with: GFR (kidney_function),data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,Stage 3 descriptive OR=0.635 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive HR=0.789 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.836 (per 1 SD increase); p<0.05; reduced,overlap_review_needed,medium,,,,,,,,,,,,,,,,,
crp-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.0405186385737439,592,1y: OR=1.172 (per 1 SD increase); p<0.10; elevated | survival: HR=1.058 (per 1 SD increase); p>=0.10; elevated | hosp: IRR=0.916 (per 1 SD increase); p>=0.10; reduced,no overlap flag,overlap_representative,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.059 (no signal),Stage 3 descriptive p=0.206 (no signal),Stage 3 descriptive p=0.117 (no signal),needs_committee_review,low,,,,,,,,,,,,,,,,,
hb-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.1069692058346839,551,1y: OR=0.863 (per 1 SD increase); p<0.10; reduced | survival: HR=0.981 (per 1 SD increase); p>=0.10; reduced | hosp: IRR=0.959 (per 1 SD increase); p>=0.10; reduced,no overlap flag,overlap_representative,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.100 (no signal),Stage 3 descriptive p=0.681 (no signal),Stage 3 descriptive p=0.437 (no signal),needs_committee_review,low,,,,,,,,,,,,,,,,,
LV_EF,main_candidate,LV systolic function,primary_echo_domain,continuous,1,0.006482982171799,613,1y: OR=0.712 (per 1 SD increase); p<0.05; reduced | survival: HR=0.812 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.835 (per 1 SD increase); p<0.05; reduced,overlap with: LeftVentricleSystolicFunction (lv_systolic_function),cardiology_prioritized,Abnormal LV systolic function (EF) was prioritized by cardiology input.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=0.712 (per 1 SD increase); p<0.05; reduced,cardiology prior; Stage 3 descriptive HR=0.812 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.835 (per 1 SD increase); p<0.05; reduced,strong_clinical_echo_candidate,high,,,,,,,,,,,,,,,,,
LeftVentricleEstimatedMassIndex,main_candidate,LV structure / remodeling,primary_echo_domain,continuous,1,0.1024844720496894,556,1y: OR=1.020 (per 1 SD increase); p>=0.10; elevated | survival: HR=1.047 (per 1 SD increase); p>=0.10; elevated | hosp: IRR=1.056 (per 1 SD increase); p>=0.10; elevated,overlap with: LeftVentricleEstimatedMass (lv_mass),literature_supported,LVMI is literature-supported as relevant in uremia/dialysis populations.,literature_support,False,medium,high,,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.818 (no signal),cardiology prior; Stage 3 descriptive p=0.314 (no signal),Stage 3 descriptive p=0.309 (no signal),literature_supported_echo_candidate,medium,,,,,,,,,,,,,,,,,
MitralInflowPeakEWave,main_candidate,Diastolic / filling pressure,outcome_specific_exploratory,continuous,1,0.0978260869565217,558,1y: OR=1.195 (per 1 SD increase); p<0.05; elevated | survival: HR=1.160 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.316 (per 1 SD increase); p<0.05; elevated,no overlap flag,outcome_specific_novel,"Peak E wave appeared relevant for hospitalization outcomes; should be considered an outcome-specific discovery candidate, not a primary mortality predictor.",supporting,False,high,medium,Novel hospitalization-specific filling-pressure marker.,True,True,supported,supported,supported,cardiology prior; not primary for this outcome; sensitivity only; Stage 3 descriptive OR=1.195 (per 1 SD increase); p<0.05; elevated,cardiology prior; not primary for this outcome; sensitivity only; Stage 3 descriptive HR=1.160 (per 1 SD increase); p<0.05; elevated,hospitalization-specific exploratory (filling pressure); Stage 3 descriptive IRR=1.316 (per 1 SD increase); p<0.05; elevated,outcome_specific_candidate_hospitalization,medium,,,,,,,,,,,,,,,,,
TissueDopplerEERatioLateral,main_candidate,Diastolic / filling pressure,primary_clinical_supporting,continuous,1,0.1894409937888198,501,1y: OR=1.015 (per 1 SD increase); p>=0.10; elevated | survival: HR=1.174 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.270 (per 1 SD increase); p<0.05; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,supported,Stage 3 descriptive p=0.873 (no signal),Stage 3 descriptive HR=1.174 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.270 (per 1 SD increase); p<0.05; elevated,overlap_review_needed,medium,,,,,,,,,,,,,,,,,
TissueDopplerEERatioSeptal,main_candidate,Diastolic / filling pressure,primary_echo_domain,continuous,1,0.1894409937888198,501,1y: OR=1.278 (per 1 SD increase); p<0.05; elevated | survival: HR=1.298 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.365 (per 1 SD increase); p<0.05; elevated,no overlap flag,cardiology_prioritized,"Cardiology prioritized diastolic dysfunction; full Renal Lutati definitions were not feasible due to missing data, so septal E/e' is the available representative marker.",cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=1.278 (per 1 SD increase); p<0.05; elevated,cardiology prior; Stage 3 descriptive HR=1.298 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.365 (per 1 SD increase); p<0.05; elevated,strong_clinical_echo_candidate,high,,,,,,,,,,,,,,,,,
TissueDopplerEVelosityLateral,main_candidate,Diastolic / filling pressure,primary_clinical_supporting,continuous,1,0.1770186335403726,509,1y: OR=1.202 (per 1 SD increase); p<0.05; elevated | survival: HR=0.996 (per 1 SD increase); p>=0.10; reduced | hosp: IRR=0.901 (per 1 SD increase); p<0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,limited,limited,Stage 3 descriptive OR=1.202 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive p=0.947 (no signal),Stage 3 descriptive p=0.089 (no signal),overlap_review_needed,medium,,,,,,,,,,,,,,,,,
