decision_id,datetime,stage,timing,source_type,outcome_informed,affects_primary_model,decision,rationale,approved_by,dataset_version,script_version,notes
DEC-010,2026-05-05T09:35:33,Stage 0,pre-outcome modeling,data engineering,False,False,Standardize patient identifier as patient_id while preserving original column.,Needed for reproducible merging and audit.,pending team review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Created mirror from patient number if present.
DEC-011,2026-05-05T09:35:33,Stage 0,pre-outcome modeling,data cleaning,False,False,Strip leading/trailing whitespace from string cells only.,Avoid duplicated categorical levels due to whitespace variants.,approved/low-risk cleaning,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Does not coerce dates or numeric values to string.
DEC-012,2026-05-05T09:35:33,Stage 0,pre-outcome modeling,data cleaning,False,False,Convert explicit No Value in pre-specified echo categorical fields to missing.,"No Value represents non-measured/non-reported, not a clinical category.",approved/pending confirmation,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Keep counts in cleaning provenance.
DEC-014,2026-05-05T09:35:33,Stage 0,pre-outcome modeling,data cleaning,False,False,Convert See below in pre-specified echo categorical fields to missing.,"See below is a pointer to free text, not a structured category.",approved/pending confirmation,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Keep raw free-text columns descriptive.
DEC-016,2026-05-05T09:35:33,Stage 0,cohort definition,QA/exclusion,False,True,Flag Echo_Date after DeathDate for exclusion.,Echo after death is invalid for baseline echo analysis.,approved,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Exclude in Stage 1 analytic cohort. Expanded by DEC-040 to include same calendar date as death.
DEC-017,2026-05-05T09:35:33,Stage 0,pre-modeling,modeling guardrail,False,True,Hold BMI/Weight and selected broad labs/comorbidities outside parsimonious base; allow sensitivity only.,Avoid overfitting and unstable adjustment; many variables are secondary or potentially collinear.,pending team review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Can be revisited in Stage 4.
DEC-021,2026-05-05T09:35:33,Stage 0,pre-modeling,feature derivation,False,True,Convert comorbidity date/non-null fields to binary indicators.,Presence of a date/entry indicates prior diagnosis/procedure; dates themselves are not model predictors.,pending team review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Raw date columns retained but excluded from models.
DEC-022,2026-05-05T09:35:33,Stage 0,pre-modeling,feature derivation,False,True,Derive gap_echo_to_dial_days as Dialysis_Start_Date minus Echo_Date.,Timing of echo relative to dialysis may affect baseline interpretation.,pending team review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Positive = echo before dialysis.
DEC-023,2026-05-05T09:35:33,Stage 0,outcome definition,feature derivation,True,True,Define died_1year using death within 365 days; alive controls require at least 365 days follow-up.,Prevents classifying short follow-up alive patients as non-events.,pending statistician review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Depends on final censor date.
DEC-024,2026-05-05T09:35:33,Stage 0,outcome definition,naming,True,True,Use hosp_total as hospitalization count variable and exclude hospitalization-count duplicate.,Consistent downstream naming.,pending statistician review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Verify exact match if both exist.
OPEN-001,2026-05-05T09:35:33,Stage 0,before final cleaning lock,clinical/coding decision,False,True,How to handle Preserved in LeftVentricleSystolicFunction: merge with Normal vs keep separate.,External model merged Preserved to Normal; this notebook does not assume approval.,open,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Resolve before final categorical LV systolic analysis.
OPEN-002,2026-05-05T09:35:33,Stage 0,before survival/outcome lock,administrative follow-up,True,True,Confirm the final administrative censor date / follow-up end date.,Censor date affects survival and 1-year mortality labels.,open,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Current provisional value: 2025-08-16
OPEN-003,2026-05-05T09:35:33,Stage 0,before Stage 1 modeling,missingness policy,False,True,Final rule for variables with >50% missingness: exploratory only vs candidate after clinician approval.,Variables like RVSize/RVSystolicFunction/AorticValveRegurgitation have >50% missingness.,open,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,Default in this notebook: downgrade to exploratory/sensitivity.
DEC-029,2026-05-05T10:40:00,Stage 0,before Stage 1 handoff,data governance,False,True,Use stage0_updated_clean_flat.csv as the Stage 0 source-of-truth dataset for downstream analysis; retain 01_clean_flat.csv from the second LLM only as an external QA/audit comparison file.,"The project dataset was generated from the approved Stage -1 output raw_flat.csv and preserves the project pipeline, decision state, and auxiliary timing/outcome variables. The second LLM file differs in column set, preprocessing, No Value handling, outlier retention, Preserved handling, and echo/death timestamp logic.",approved by project lead after statistician/epidemiology/cardiology-style QA review,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,"Do not replace the project pipeline dataset with 01_clean_flat.csv. Use the second LLM file only to compare QA flags, outliers, variable lists, and unresolved coding decisions."
DEC-030,2026-05-05T10:40:00,Stage 0,before Stage 1 cleaning lock,QA/outlier policy,False,True,"Do not correct implausible continuous outliers using mode, mean, median, or other central tendency imputation. At Stage 0, flag only. At Stage 1, correct only when a clinically and technically justified unit-conversion rule is documented; otherwise set the implausible value to missing while retaining the patient unless cohort eligibility or outcome definition is affected.","Mode/central-tendency replacement invents patient-level values and can distort associations. Continuous echo/body-size measurements require either documented unit correction or missing-value handling, not categorical-style recoding.",approved by project lead; pending clinician/statistician confirmation for any unit-conversion rule,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,"Applies to BMI, Weight, LV Mass, LV Mass Index, IVS, PW, and similar continuous variables. Do not drop entire patients solely because one non-outcome covariate is implausible."
OPEN-004,2026-05-05T10:40:00,Stage 0,before final categorical LV systolic cleaning lock,upstream provenance check,False,True,Verify whether Preserved in LeftVentricleSystolicFunction was already merged into Normal during Stage -1 / raw_flat creation.,"Stage 0 guardrail leaves Preserved open, but raw_flat/stage0_updated_clean_flat may no longer contain Preserved as a separate category, suggesting the decision may have occurred upstream.",open,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,"If confirmed, document retrospectively or regenerate from pre-merge source if sensitivity analysis requires Preserved as a separate category."
OPEN-005,2026-05-05T10:40:00,Stage 0,before Stage 1 analytic cohort exclusion,cohort QA,True,True,"RESOLVED by DEC-040: Same-day Echo_Date and DeathDate cases are excluded and reported, not left as review-only.",Automatic exclusion based only on time-of-day may be inappropriate if administrative death time defaults to 00:00 or if date precision differs across pipeline files.,resolved by DEC-040 after project-team guidance,LOCKED_V3_stage0_from_raw_flat,stage0_updated_v2026-05-05_rawflat_fix,RESOLVED: same-day Echo_Date and DeathDate cases are excluded from analytic cohorts and reported; see DEC-040.
DEC-031,2026-05-05T10:15:10,Stage 0 review → Stage 1 preparation,pre-outcome modeling,methodological guardrail,False,True,"Outcome, administrative, and follow-up support variables must not be used as predictors.","Prevents outcome leakage and preserves clear separation between predictors, outcomes, censoring, and administrative audit variables.",user approval after expert-QA recommendation,LOCKED_V3_stage0_from_raw_flat,stage0_final_review_update_2026-05-05,"Applies to event, event_1y, time_to_event_years, data_cutoff_date, and raw administrative support fields."
DEC-032,2026-05-05T10:15:10,Stage 0 review → Stage 1 preparation,pre-outcome modeling,naming/timing convention,False,True,Use days_echo_to_dialysis as the single canonical echo-to-dialysis timing covariate for Stage 1.,Avoids duplicate or inverse timing variables in the same model and creates a single interpretable convention.,user approval after expert-QA recommendation,LOCKED_V3_stage0_from_raw_flat,stage0_final_review_update_2026-05-05,"Negative values indicate echo before dialysis. Exclude months_echo_to_dialysis, months_dialysis_to_echo, and gap_echo_to_dial_days from Stage 1 models."
DEC-033,2026-05-05T10:15:10,Stage 0 review → Stage 1 preparation,pre-outcome modeling,missingness guardrail,False,True,"RVSize, RVSystolicFunction, and AorticValveRegurgitation are exploratory/sensitivity variables only due to high effective missingness.",Variables with effective missingness above 50% are not appropriate as regular main-model candidates unless explicitly clinician-approved for a dedicated analysis.,user approval after expert-QA recommendation,LOCKED_V3_stage0_from_raw_flat,stage0_final_review_update_2026-05-05,Do not include these in the main Stage 1 model.
DEC-034,2026-05-05T10:15:10,Stage 0 review → Stage 1 preparation,pre-outcome modeling,covariate selection guardrail,False,True,Do not include GFR and creatinine-numeric result together in the same base model.,They represent overlapping renal-function information and may introduce collinearity/overadjustment.,user approval after expert-QA recommendation,LOCKED_V3_stage0_from_raw_flat,stage0_final_review_update_2026-05-05,Retain creatinine-numeric result as core clinical covariate in the main base model; keep GFR for alternative/sensitivity model.
DEC-035,2026-05-05T10:15:10,Stage 0 review → Stage 1 preparation,pre-outcome modeling,missingness/covariate guardrail,False,True,"SBP and DBP variables are sensitivity/descriptive covariates only, not default main-model covariates.",Both have missingness above the preferred main-model threshold and should not reduce the main analytic sample.,user approval after expert-QA recommendation,LOCKED_V3_stage0_from_raw_flat,stage0_final_review_update_2026-05-05,Applies to sbp-numeric result and dbp-numeric result.
DEC-036,2026-05-05T10:15:10,Stage 0 review → Stage 1 preparation,pre-outcome modeling,structural missingness guardrail,False,False,years_since_MI is exploratory/descriptive only and must not be used in the main model.,The variable is structurally missing among patients without MI and would condition on a prior event/subgroup.,user approval after expert-QA recommendation,LOCKED_V3_stage0_from_raw_flat,stage0_final_review_update_2026-05-05,May be used only in MI subgroup/exploratory description if clinically useful.
DEC-037,2026-05-05T10:55:00,Stage 1 preparation,pre-outcome modeling,clinician-approved categorical harmonization,False,True,Apply clinician-approved category grouping rules in Stage 1 for selected categorical echocardiography variables. Preserve original variables; create grouped variables with a _clin_grouped suffix. Use grouped versions for main modeling where eligible. Rare categories marked by clinicians as 'ignore' will not be treated as independent model levels; they will be flagged as Rare/ignored or set to missing in analysis-specific datasets while preserving original values.,Clinician review identified sparse echo categories requiring clinically meaningful merging before modeling. Grouping reduces sparse-cell instability while preserving clinical interpretation and avoids outcome-driven recoding.,clinician review document + project lead approval; pending final external sign-off if required,LOCKED_V3_stage0_from_raw_flat,stage1_workplan_update_2026-05-05,"Based on Echo categories.docx. Applies to LV cavity size, LV wall thickness, LV systolic function, RV size, aortic valve structure, aortic regurgitation, mitral regurgitation, tricuspid regurgitation, LA cavity size, RV systolic function, and ECHO_SPAP. Do not delete patients because of rare categories."
