clinical_domain,current_primary_variable,current_role,current_missing_pct_max_across_outcomes,current_model_impact,candidate_substitute,candidate_is_data_column,substitute_missing_pct_max_across_outcomes,substitute_domain_fit,is_true_substitute,is_adjacent_marker_or_strategy,recommended_use,committee_question,guardrail
Diastolic / filling pressure,TissueDopplerEERatioSeptal,primary non-EF echo marker in C-minimal/C-lite/C-full,18.944099378881987,C_minimal; C_lite; C_full,TissueDopplerEERatioLateral,True,18.944099378881987,adjacent E/e′ marker; not identical to septal E/e′,partial,yes,committee_review_only; do_not_auto_replace,"If septal E/e′ drives loss, is any adjacent diastolic marker acceptable, or should E/e′ remain the only primary filling-pressure representative?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Diastolic / filling pressure,TissueDopplerEERatioSeptal,primary non-EF echo marker in C-minimal/C-lite/C-full,18.944099378881987,C_minimal; C_lite; C_full,TissueDopplerEVelositySeptal,True,17.70186335403727,adjacent tissue Doppler e′ velocity; related but not same construct,partial,yes,committee_review_only; do_not_auto_replace,"If septal E/e′ drives loss, is any adjacent diastolic marker acceptable, or should E/e′ remain the only primary filling-pressure representative?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Diastolic / filling pressure,TissueDopplerEERatioSeptal,primary non-EF echo marker in C-minimal/C-lite/C-full,18.944099378881987,C_minimal; C_lite; C_full,TissueDopplerEVelosityLateral,True,17.70186335403727,adjacent tissue Doppler e′ velocity; related but not same construct,partial,yes,committee_review_only; do_not_auto_replace,"If septal E/e′ drives loss, is any adjacent diastolic marker acceptable, or should E/e′ remain the only primary filling-pressure representative?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Diastolic / filling pressure,TissueDopplerEERatioSeptal,primary non-EF echo marker in C-minimal/C-lite/C-full,18.944099378881987,C_minimal; C_lite; C_full,MitralInflowPeakEWave,True,9.782608695652174,hemodynamic/filling-adjacent marker; previously considered hospitalization-specific discovery,partial,yes,committee_review_only; do_not_auto_replace,"If septal E/e′ drives loss, is any adjacent diastolic marker acceptable, or should E/e′ remain the only primary filling-pressure representative?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Diastolic / filling pressure,TissueDopplerEERatioSeptal,primary non-EF echo marker in C-minimal/C-lite/C-full,18.944099378881987,C_minimal; C_lite; C_full,LACavitySize,True,6.6770186335403725,chronic filling burden marker; not a direct substitute for E/e′,partial,yes,committee_review_only; do_not_auto_replace,"If septal E/e′ drives loss, is any adjacent diastolic marker acceptable, or should E/e′ remain the only primary filling-pressure representative?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Pulmonary pressure,EstimatedSysPAPressure,primary pulmonary pressure representative in C-lite/C-full,17.01782820097245,C_lite; C_full,ECHO_SPAP,True,18.80064829821718,categorical pulmonary pressure alternative; may reduce interpretability/df depending on missingness,yes,yes,committee_review_only; do_not_auto_replace,"If SPAP drives loss, is ECHO_SPAP an acceptable pressure substitute, or should pulmonary pressure remain MI/sensitivity only?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Pulmonary pressure,EstimatedSysPAPressure,primary pulmonary pressure representative in C-lite/C-full,17.01782820097245,C_lite; C_full,tricuspid_regurgitation_clin_grouped,True,7.13128038897893,right-sided burden/valvular adjacent marker; not direct pressure measurement,partial,yes,committee_review_only; do_not_auto_replace,"If SPAP drives loss, is ECHO_SPAP an acceptable pressure substitute, or should pulmonary pressure remain MI/sensitivity only?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Right-sided / valvular burden,tricuspid_regurgitation_clin_grouped,included only in C-full; removed from locked C-lite due to SPAP overlap/df,7.13128038897893,C_full,EstimatedSysPAPressure,True,17.01782820097245,pulmonary pressure representative; C-lite already uses this instead of TR,yes,yes,committee_review_only; do_not_auto_replace,"Should right-sided burden be represented by SPAP only in the primary model, leaving TR for sensitivity/MI models?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Right-sided / valvular burden,tricuspid_regurgitation_clin_grouped,included only in C-full; removed from locked C-lite due to SPAP overlap/df,7.13128038897893,C_full,ECHO_SPAP,True,18.80064829821718,categorical pressure alternative,yes,yes,committee_review_only; do_not_auto_replace,"Should right-sided burden be represented by SPAP only in the primary model, leaving TR for sensitivity/MI models?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
Right-sided / valvular burden,tricuspid_regurgitation_clin_grouped,included only in C-full; removed from locked C-lite due to SPAP overlap/df,7.13128038897893,C_full,omit_TR_keep_SPAP,False,,removes domain rather than substituting a measured marker,no,strategy,model simplification strategy; not a variable substitute,"Should right-sided burden be represented by SPAP only in the primary model, leaving TR for sensitivity/MI models?","Substitution must be based on clinical-domain fit and missingness, not on effect size or p-value."
