clinical_domain,variables_in_domain,n_variables,total_approx_df,strongest_stage3_signals,external_clinical_priorities,discovery_candidates,overlap_concerns,recommended_committee_question
Comorbidity,AFIB_binary; CABG_binary; COPD_binary; Diabetes mellitus_binary; HTN_binary; IHD_binary; MI_binary,7,7,AFIB_binary; HTN_binary; IHD_binary,,AFIB_binary; CABG_binary; COPD_binary; Diabetes mellitus_binary; HTN_binary; IHD_binary,,Which comorbidities are core adjustments versus secondary?
Demographics,AgeAtFirstHFDate; m/f,2,2,AgeAtFirstHFDate; m/f,,AgeAtFirstHFDate,,Confirm age/sex as core adjustment.
Dialysis modality,HD/PD,1,1,HD/PD,,,,Confirm HD/PD as core adjustment.
Diastolic / filling pressure,MitralInflowPeakEWave; TissueDopplerEERatioLateral; TissueDopplerEERatioSeptal; TissueDopplerEVelosityLateral; TissueDopplerEVelositySeptal,5,5,TissueDopplerEERatioSeptal; MitralInflowPeakEWave; TissueDopplerEERatioLateral,TissueDopplerEERatioSeptal,TissueDopplerEERatioLateral; TissueDopplerEVelosityLateral; TissueDopplerEVelositySeptal,MitralInflowPeakEWave; TissueDopplerEERatioLateral; TissueDopplerEERatioSeptal; TissueDopplerEVelosityLateral; TissueDopplerEVelositySeptal,Should TissueDopplerEERatioSeptal be the primary diastolic representative? Is MitralInflowPeakEWave hospitalization-specific only?
Echo timing / provenance,days_echo_to_dialysis; echo_to_dialysis_timing_category,2,7,days_echo_to_dialysis,,days_echo_to_dialysis,,Use timing variables only for sensitivity (not main).
LA / chronic filling burden,LACavitySize,1,3,LACavitySize,LACavitySize,,,Should LA size be retained as a separate chronic filling burden marker?
LV structure / remodeling,LeftVentricleEstimatedMassIndex,1,1,LeftVentricleEstimatedMassIndex,LeftVentricleEstimatedMassIndex,,LeftVentricleEstimatedMassIndex,"Should LVMI be retained, or merged with systolic function?"
LV systolic function,LV_EF,1,1,LV_EF,LV_EF,,LV_EF,Should LV_EF alone represent systolic function?
Pulmonary pressure / right-sided burden,ECHO_SPAP; EstimatedSysPAPressure,2,4,EstimatedSysPAPressure; ECHO_SPAP,EstimatedSysPAPressure; ECHO_SPAP,,EstimatedSysPAPressure; ECHO_SPAP,"Should pulmonary pressure (continuous SPAP vs categorical ECHO_SPAP) and TR both enter, or one held for sensitivity?"
Renal / labs / inflammation,albumin-numeric result; creatinine-numeric result; crp-numeric result; hb-numeric result,4,4,creatinine-numeric result; albumin-numeric result; crp-numeric result,,albumin-numeric result; creatinine-numeric result,creatinine-numeric result,"Which labs/inflammation markers (creatinine, albumin, hb, crp) form the renal/sepsis-burden adjustment set?"
Valvular disease,mitral_regurgitation_clin_grouped; tricuspid_regurgitation_clin_grouped,2,6,tricuspid_regurgitation_clin_grouped; mitral_regurgitation_clin_grouped,tricuspid_regurgitation_clin_grouped,mitral_regurgitation_clin_grouped,,Should TR be the primary valvular representative? Mitral regurgitation as secondary?
