variable,predictor_role,clinical_domain,candidate_logic_type,variable_type,approx_df,max_missing_pct_stage3,min_n_model_stage3,best_signal_summary,overlap_summary,external_clinical_priority,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_is_descriptive_only,inclusion_not_based_on_pvalue,outcome_relevance_flag_1y,outcome_relevance_flag_survival,outcome_relevance_flag_hosp,rationale_1y,rationale_survival,rationale_hosp,preliminary_recommendation,committee_review_priority,best_effect_1y,best_p_1y,best_q_1y,best_effect_survival,best_p_survival,best_q_survival,best_effect_hosp,best_p_hosp,best_q_hosp,consistent_signal_count,any_p_below_0_05,any_q_below_0_10,clinical_overlap_flag,statistical_collinearity_flag,soft_correlation_flag,top_soft_correlation_partner,top_soft_correlation_abs_rho,shared_core_candidate,outcome_specific_candidate,sensitivity_model_candidate,recommended_missingness_strategy_stage5,reviewer2_risk_flag,include_1y_main,include_survival_main,include_hosp_main,sensitivity_only,exclude_from_main,final_decision,decision_reason,committee_notes,representative_variable_reason,retain_despite_not_cardiology_prioritized,reason_to_exclude_despite_cardiology_priority,final_include_1y,final_include_survival,final_include_hosp,decision_basis,decision_reason_free_text,reviewer_defensibility_note
AgeAtFirstHFDate,main_candidate,Demographics,core_adjustment,continuous,1,0.0,617,1y: OR=1.604 (per 1 SD increase); p<0.05; elevated | survival: HR=1.494 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.374 (per 1 SD increase); p<0.05; elevated,no overlap flag,core_adjustment,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive OR=1.604 (per 1 SD increase); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive HR=1.494 (per 1 SD increase); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive IRR=1.374 (per 1 SD increase); p<0.05; elevated,core_adjustment_candidate,high,1.6039356602924228,2.607372334155147e-07,1.0690226570036102e-05,1.4943408488271803,1.7407938819136154e-16,7.137254915845823e-15,1.3740809906498856,1.0325513510089603e-09,4.2334605391367376e-08,3,True,True,False,False,False,,,True,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
albumin-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.0016207455429497,616,1y: OR=0.659 (per 1 SD increase); p<0.05; reduced | survival: HR=0.847 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.979 (per 1 SD increase); p>=0.10; reduced,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,limited,Stage 3 descriptive OR=0.659 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive HR=0.847 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive p=0.679 (no signal),data_signal_discovery_candidate,medium,0.6591719376839671,1.7094977187578271e-06,2.3363135489690305e-05,0.8466426282093686,0.0001241671330995,0.0007272646367262,0.9785072816962302,0.6785982783547089,0.7321718266458701,2,True,True,False,False,False,,,False,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
creatinine-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.0016207455429497,616,1y: OR=0.635 (per 1 SD increase); p<0.05; reduced | survival: HR=0.789 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.836 (per 1 SD increase); p<0.05; reduced,overlap with: GFR (kidney_function),data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,Stage 3 descriptive OR=0.635 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive HR=0.789 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.836 (per 1 SD increase); p<0.05; reduced,overlap_review_needed,medium,0.6349699478616663,5.909565210597407e-07,1.2114608681724684e-05,0.789340559572123,6.289703401924447e-07,8.595927982630078e-06,0.8364995719338116,0.0006101057038235,0.0027793704285293,3,True,True,True,False,False,,,False,False,False,complete-case acceptable,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
crp-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.0405186385737439,592,1y: OR=1.172 (per 1 SD increase); p<0.10; elevated | survival: HR=1.058 (per 1 SD increase); p>=0.10; elevated | hosp: IRR=0.916 (per 1 SD increase); p>=0.10; reduced,no overlap flag,overlap_representative,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.059 (no signal),Stage 3 descriptive p=0.206 (no signal),Stage 3 descriptive p=0.117 (no signal),needs_committee_review,low,1.1716370129830722,0.0593196032337354,0.1531829819175197,1.0575462187863625,0.2056402338981903,0.3011160567794929,0.9157274246567468,0.1174875261847562,0.2007078572322918,0,False,False,False,False,False,,,False,False,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
hb-numeric result,main_candidate,Renal / labs / inflammation,primary_clinical_supporting,continuous,1,0.1069692058346839,551,1y: OR=0.863 (per 1 SD increase); p<0.10; reduced | survival: HR=0.981 (per 1 SD increase); p>=0.10; reduced | hosp: IRR=0.959 (per 1 SD increase); p>=0.10; reduced,no overlap flag,overlap_representative,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.100 (no signal),Stage 3 descriptive p=0.681 (no signal),Stage 3 descriptive p=0.437 (no signal),needs_committee_review,low,0.86288749946826,0.0998329252601787,0.2273972186481849,0.9810711271294288,0.6814477798234767,0.7441128631745729,0.9588853494231296,0.4370865766702639,0.5780822465638975,0,False,False,False,False,False,,,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,,,,,,,,,,,,,,,,,,
LV_EF,main_candidate,LV systolic function,primary_echo_domain,continuous,1,0.006482982171799,613,1y: OR=0.712 (per 1 SD increase); p<0.05; reduced | survival: HR=0.812 (per 1 SD increase); p<0.05; reduced | hosp: IRR=0.835 (per 1 SD increase); p<0.05; reduced,overlap with: LeftVentricleSystolicFunction (lv_systolic_function),cardiology_prioritized,Abnormal LV systolic function (EF) was prioritized by cardiology input.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=0.712 (per 1 SD increase); p<0.05; reduced,cardiology prior; Stage 3 descriptive HR=0.812 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.835 (per 1 SD increase); p<0.05; reduced,strong_clinical_echo_candidate,high,0.7121986178786578,4.876495914653362e-05,0.0003998726650015,0.8118305173901607,1.7180367842202594e-06,1.760987703825766e-05,0.8351767962845852,0.0005906369934731,0.0027793704285293,3,True,True,True,False,False,,,False,False,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
LeftVentricleEstimatedMassIndex,main_candidate,LV structure / remodeling,primary_echo_domain,continuous,1,0.1024844720496894,556,1y: OR=1.020 (per 1 SD increase); p>=0.10; elevated | survival: HR=1.047 (per 1 SD increase); p>=0.10; elevated | hosp: IRR=1.056 (per 1 SD increase); p>=0.10; elevated,overlap with: LeftVentricleEstimatedMass (lv_mass),literature_supported,LVMI is literature-supported as relevant in uremia/dialysis populations.,literature_support,False,medium,high,,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.818 (no signal),cardiology prior; Stage 3 descriptive p=0.314 (no signal),Stage 3 descriptive p=0.309 (no signal),literature_supported_echo_candidate,medium,1.020347336677077,0.8178125956133042,0.90622476811204,1.0465292565054574,0.3136943590897222,0.4148860878283423,1.0556413284934214,0.3086347678266381,0.4363457062376608,0,False,False,True,False,False,,,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,,,,,,,,,,,,,,,,,,
MitralInflowPeakEWave,main_candidate,Diastolic / filling pressure,outcome_specific_exploratory,continuous,1,0.0978260869565217,558,1y: OR=1.195 (per 1 SD increase); p<0.05; elevated | survival: HR=1.160 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.316 (per 1 SD increase); p<0.05; elevated,no overlap flag,outcome_specific_novel,"Peak E wave appeared relevant for hospitalization outcomes; should be considered an outcome-specific discovery candidate, not a primary mortality predictor.",supporting,False,high,medium,Novel hospitalization-specific filling-pressure marker.,True,True,supported,supported,supported,cardiology prior; not primary for this outcome; sensitivity only; Stage 3 descriptive OR=1.195 (per 1 SD increase); p<0.05; elevated,cardiology prior; not primary for this outcome; sensitivity only; Stage 3 descriptive HR=1.160 (per 1 SD increase); p<0.05; elevated,hospitalization-specific exploratory (filling pressure); Stage 3 descriptive IRR=1.316 (per 1 SD increase); p<0.05; elevated,outcome_specific_candidate_hospitalization,medium,1.1945312077438857,0.0423451140309553,0.1378841144586926,1.160461511360512,0.001443352158778,0.0045521106546076,1.3162750782383992,2.921334435125563e-07,2.994367796003702e-06,3,True,True,False,False,True,TissueDopplerEERatioSeptal,0.6229,False,True,False,complete-case acceptable,,,,,,,,,,,,,,,,,,
TissueDopplerEERatioLateral,main_candidate,Diastolic / filling pressure,primary_clinical_supporting,continuous,1,0.1894409937888198,501,1y: OR=1.015 (per 1 SD increase); p>=0.10; elevated | survival: HR=1.174 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.270 (per 1 SD increase); p<0.05; elevated,no overlap flag,data_signal_discovery,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,supported,Stage 3 descriptive p=0.873 (no signal),Stage 3 descriptive HR=1.174 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.270 (per 1 SD increase); p<0.05; elevated,overlap_review_needed,medium,1.0148990830600306,0.8729120421430302,0.9176767622529292,1.17416126350574,0.0009680175182287,0.0033073931872815,1.270398748515644,2.5809955093413967e-05,0.0002116416317659,2,True,True,False,False,True,TissueDopplerEERatioSeptal,0.6703,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,watch for p-value-driven appearance,,,,,,,,,,,,,,,,,
TissueDopplerEERatioSeptal,main_candidate,Diastolic / filling pressure,primary_echo_domain,continuous,1,0.1894409937888198,501,1y: OR=1.278 (per 1 SD increase); p<0.05; elevated | survival: HR=1.298 (per 1 SD increase); p<0.05; elevated | hosp: IRR=1.365 (per 1 SD increase); p<0.05; elevated,no overlap flag,cardiology_prioritized,"Cardiology prioritized diastolic dysfunction; full Renal Lutati definitions were not feasible due to missing data, so septal E/e' is the available representative marker.",cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=1.278 (per 1 SD increase); p<0.05; elevated,cardiology prior; Stage 3 descriptive HR=1.298 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.365 (per 1 SD increase); p<0.05; elevated,strong_clinical_echo_candidate,high,1.2775174304720884,0.0081991706422874,0.0390804143593773,1.2976645712246762,3.7484359167706335e-08,7.684293629379797e-07,1.3647258704360754,4.144314584240066e-08,8.495844897692135e-07,3,True,True,False,False,True,TissueDopplerEVelositySeptal,0.6766,False,False,False,MICE multiple imputation if main; otherwise complete-case sensitivity,,,,,,,,,,,,,,,,,,
