outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note,relative_change_pct,ci_overlap,robustness_status
one_year_mortality,C_minimal,logistic,C(Q('m/f'))[T.m],OR,0.8275519875651235,0.5250434452773526,1.3043535697531097,0.41484870528204176,497,185.0,consultation_only_not_final_stage5,0.8947018562781396,0.6018594509692657,1.3300304752852112,40,consultation_grade_approximation_confirm_with_biostatistician,41.21789457117939,True,not_robust_review
one_year_mortality,C_minimal,logistic,C(Q('AFIB_binary'))[T.1],OR,1.44593609697253,0.9541975702838129,2.191088367481689,0.0820503885659929,497,185.0,consultation_only_not_final_stage5,1.2741893194298723,0.8844469290762078,1.8356764757439374,40,consultation_grade_approximation_confirm_with_biostatistician,34.29000815721985,True,not_robust_review
one_year_mortality,C_minimal,logistic,Q('AgeAtFirstHFDate'),OR,1.0491709067141466,1.0283469523155842,1.0704165447437217,2.6942753700798273e-06,497,185.0,consultation_only_not_final_stage5,1.052999734544018,1.0343955321685316,1.0719385442677232,40,consultation_grade_approximation_confirm_with_biostatistician,7.589006802139609,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('albumin-numeric result'),OR,0.4515248191037202,0.3055871928019579,0.6671570899202327,6.552738893064207e-05,497,185.0,consultation_only_not_final_stage5,0.4606883235764373,0.3290046838993104,0.6450781458923571,40,consultation_grade_approximation_confirm_with_biostatistician,2.526821137324447,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('creatinine-numeric result'),OR,0.811447310125336,0.7259239009997653,0.9070465047407995,0.00023606747503806362,497,185.0,consultation_only_not_final_stage5,0.8198031325460738,0.7452834492694906,0.9017739180859442,40,consultation_grade_approximation_confirm_with_biostatistician,4.903311056136484,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('LV_EF'),OR,0.9675558473539247,0.9539952038590002,0.9813092497340646,4.648880933286476e-06,497,185.0,consultation_only_not_final_stage5,0.9733339638767603,0.9613966288169215,0.9854195207672771,40,consultation_grade_approximation_confirm_with_biostatistician,18.0525253570566,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0105669680095133,0.9885234913776333,1.0331020008525087,0.3502153694652391,497,185.0,consultation_only_not_final_stage5,1.0083386068936038,0.9863594525813999,1.0308075250774018,40,consultation_grade_approximation_confirm_with_biostatistician,21.000705870003152,True,not_robust_review
survival,C_minimal,cox,AgeAtFirstHFDate,HR,1.0389086016445368,1.0288183425802666,1.0490978221325786,1.7824327776023444e-14,518,405.0,consultation_only_not_final_stage5,1.0394543663231404,1.0303876239077132,1.0486008901879174,40,consultation_grade_approximation_confirm_with_biostatistician,1.3758891581622659,True,robust_by_DEC077
survival,C_minimal,cox,albumin-numeric result,HR,0.756305168912786,0.626337972509523,0.9132409875013618,0.0036920955627762135,518,405.0,consultation_only_not_final_stage5,0.7603274801596857,0.6437746755756028,0.8979816992165719,40,consultation_grade_approximation_confirm_with_biostatistician,1.899062689234,True,robust_by_DEC077
survival,C_minimal,cox,creatinine-numeric result,HR,0.922683281587444,0.8747312906988021,0.9732639579417074,0.003124685850445931,518,405.0,consultation_only_not_final_stage5,0.9162922373929651,0.8740698746333154,0.9605541715515892,40,consultation_grade_approximation_confirm_with_biostatistician,8.637691683712386,True,robust_by_DEC077
survival,C_minimal,cox,AFIB_binary,HR,1.2516633836594881,1.0188748272973476,1.5376385636591117,0.03251125325178605,518,405.0,consultation_only_not_final_stage5,1.2223508101492262,1.019289326458534,1.465865936479276,40,consultation_grade_approximation_confirm_with_biostatistician,10.556920413369134,True,robust_by_DEC077
survival,C_minimal,cox,LV_EF,HR,0.9815364495436691,0.9750023701411923,0.9881143177562508,4.536008675371677e-08,518,405.0,consultation_only_not_final_stage5,0.9839656266063628,0.978122967143383,0.9898431862513718,40,consultation_grade_approximation_confirm_with_biostatistician,13.263561779662815,True,robust_by_DEC077
survival,C_minimal,cox,TissueDopplerEERatioSeptal,HR,1.018554919021078,1.007862854179678,1.0293604122422408,0.000638714035599331,518,405.0,consultation_only_not_final_stage5,1.0173897429658303,1.006719238581387,1.0281733470700911,40,consultation_grade_approximation_confirm_with_biostatistician,6.225796243180809,True,robust_by_DEC077
survival,C_minimal,cox,m/f_m,HR,1.0129804187091103,0.8151647375828519,1.2587999472729774,0.9073787275565113,518,405.0,consultation_only_not_final_stage5,0.9808030729085324,0.8072052260318721,1.1917349353097932,40,consultation_grade_approximation_confirm_with_biostatistician,250.2964909247843,True,not_robust_review
hospitalization,C_minimal,negative_binomial,C(Q('m/f'))[T.m],IRR,0.9455815892626893,0.6800570511764366,1.3147787239405864,0.7393463944133545,518,955.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_minimal,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.0404140948950014,0.7728647437791909,1.4005833460109889,0.793922916528703,518,955.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_minimal,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0314494192449835,1.0181315021396449,1.0449415446089332,3.011499685857264e-06,518,955.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_minimal,negative_binomial,Q('albumin-numeric result'),IRR,0.8564003031087601,0.6453301736981389,1.1365057904573403,0.2829525733618279,518,955.0,consultation_only_not_final_stage5,8.009741079664329e-10,2.48757314840523e-84,2.5790579145136464e+65,40,consultation_grade_approximation_confirm_with_biostatistician,13411.513399595138,True,not_robust_review
hospitalization,C_minimal,negative_binomial,Q('creatinine-numeric result'),IRR,0.9613263274612547,0.8967260833736395,1.0305803801238131,0.26644438376659985,518,955.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_minimal,negative_binomial,Q('LV_EF'),IRR,0.989167623931612,0.9785576288955021,0.9998926576648226,0.04775857331893771,518,955.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_minimal,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.0269010631165383,1.011327864824256,1.0427140694013481,0.0006622477700905909,518,955.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('m/f'))[T.m],OR,0.806886056950231,0.4893325875763615,1.33051655546871,0.4004096357176419,398,164.0,consultation_only_not_final_stage5,0.8705948647171288,0.5831752290808903,1.2996701174471612,40,consultation_grade_approximation_confirm_with_biostatistician,35.41653957880533,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('AFIB_binary'))[T.1],OR,1.526652827026287,0.9665475381233017,2.4113339099623596,0.06966144040859996,398,164.0,consultation_only_not_final_stage5,1.226355650421471,0.8465255534850294,1.7766128560787342,40,consultation_grade_approximation_confirm_with_biostatistician,51.770818351250306,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.3566577070255283,0.8307794791381878,2.2154135727341684,0.2228199141549848,398,164.0,consultation_only_not_final_stage5,1.2475184239568746,0.8350437897036697,1.863737252227367,40,consultation_grade_approximation_confirm_with_biostatistician,27.49546267085967,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Normal],OR,1.3189331025496611,0.5931686319610426,2.9326981152899627,0.4971500067885638,398,164.0,consultation_only_not_final_stage5,0.8726102891798048,0.450214623556919,1.6913016080344965,40,consultation_grade_approximation_confirm_with_biostatistician,149.22501059602985,True,not_robust_review
one_year_mortality,C_lite,logistic,Q('AgeAtFirstHFDate'),OR,1.04087648455329,1.0189790943535806,1.0632444395567482,0.00022147788131801695,398,164.0,consultation_only_not_final_stage5,1.052816708964554,1.034172076258283,1.0717974775390542,40,consultation_grade_approximation_confirm_with_biostatistician,28.47011726638505,True,not_robust_review
