variable,clinical_domain,external_clinical_priority,external_clinical_priority_source,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_summary,overlap_summary,committee_question
AgeAtFirstHFDate,Demographics,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,high,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.604 (per 1 SD increase); p<0.05; elevated; survival: HR=1.494 (per 1 SD increase); p<0.05; elevated; hosp: IRR=1.374 (per 1 SD increase); p<0.05; elevated,no overlap flag,Retain as discovery candidate?
albumin-numeric result,Renal / labs / inflammation,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=0.659 (per 1 SD increase); p<0.05; reduced; survival: HR=0.847 (per 1 SD increase); p<0.05; reduced; hosp: IRR=0.979 (per 1 SD increase); p>=0.10; reduced,no overlap flag,Retain as discovery candidate?
creatinine-numeric result,Renal / labs / inflammation,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=0.635 (per 1 SD increase); p<0.05; reduced; survival: HR=0.789 (per 1 SD increase); p<0.05; reduced; hosp: IRR=0.836 (per 1 SD increase); p<0.05; reduced,overlap with: GFR (kidney_function),Retain as discovery candidate?
crp-numeric result,Renal / labs / inflammation,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,supporting,False,low,uncertain,,1y: OR=1.172 (per 1 SD increase); p<0.10; elevated; survival: HR=1.058 (per 1 SD increase); p>=0.10; elevated; hosp: IRR=0.916 (per 1 SD increase); p>=0.10; reduced,no overlap flag,Routine main candidate; representative or omit?
hb-numeric result,Renal / labs / inflammation,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,supporting,False,low,uncertain,,1y: OR=0.863 (per 1 SD increase); p<0.10; reduced; survival: HR=0.981 (per 1 SD increase); p>=0.10; reduced; hosp: IRR=0.959 (per 1 SD increase); p>=0.10; reduced,no overlap flag,Routine main candidate; representative or omit?
LV_EF,LV systolic function,cardiology_prioritized,Cardiology input,Abnormal LV systolic function (EF) was prioritized by cardiology input.,cardiology_prior,False,low,high,,1y: OR=0.712 (per 1 SD increase); p<0.05; reduced; survival: HR=0.812 (per 1 SD increase); p<0.05; reduced; hosp: IRR=0.835 (per 1 SD increase); p<0.05; reduced,overlap with: LeftVentricleSystolicFunction (lv_systolic_function),Retain as cardiology prior; review missingness/overlap.
LeftVentricleEstimatedMassIndex,LV structure / remodeling,literature_supported,Literature (uremia/dialysis cohorts),LVMI is literature-supported as relevant in uremia/dialysis populations.,literature_support,False,medium,high,,1y: OR=1.020 (per 1 SD increase); p>=0.10; elevated; survival: HR=1.047 (per 1 SD increase); p>=0.10; elevated; hosp: IRR=1.056 (per 1 SD increase); p>=0.10; elevated,overlap with: LeftVentricleEstimatedMass (lv_mass),Retain as cardiology prior; review missingness/overlap.
MitralInflowPeakEWave,Diastolic / filling pressure,outcome_specific_novel,Stage 3 hospitalization signal,"Peak E wave appeared relevant for hospitalization outcomes; should be considered an outcome-specific discovery candidate, not a primary mortality predictor.",supporting,False,high,high,Hospitalization-specific filling-pressure exploratory candidate.,1y: OR=1.195 (per 1 SD increase); p<0.05; elevated; survival: HR=1.160 (per 1 SD increase); p<0.05; elevated; hosp: IRR=1.316 (per 1 SD increase); p<0.05; elevated,no overlap flag; soft Spearman with TissueDopplerEERatioSeptal (|rho|=0.62),Retain as cardiology prior; review missingness/overlap.
TissueDopplerEERatioLateral,Diastolic / filling pressure,non_priority_main_candidate,Methodological,Available main candidate; not in cardiology priority list.,data_signal,True,high,medium,Data-informed signal not in cardiology priors; warrants discussion.,1y: OR=1.015 (per 1 SD increase); p>=0.10; elevated; survival: HR=1.174 (per 1 SD increase); p<0.05; elevated; hosp: IRR=1.270 (per 1 SD increase); p<0.05; elevated,no overlap flag; soft Spearman with TissueDopplerEERatioSeptal (|rho|=0.67),Retain as discovery candidate?
TissueDopplerEERatioSeptal,Diastolic / filling pressure,cardiology_prioritized,Cardiology input,"Cardiology prioritized diastolic dysfunction; full Renal Lutati definitions were not feasible due to missing data, so septal E/e' is the available representative marker.",cardiology_prior,False,low,high,,1y: OR=1.278 (per 1 SD increase); p<0.05; elevated; survival: HR=1.298 (per 1 SD increase); p<0.05; elevated; hosp: IRR=1.365 (per 1 SD increase); p<0.05; elevated,no overlap flag; soft Spearman with TissueDopplerEVelositySeptal (|rho|=0.68),Retain as cardiology prior; review missingness/overlap.
